,Title,Link,Year,Genre,Original Language,Duration,Director,IMDB Rating,Votes,Description,Critics Review,Primary Genre,Year Range
65,Possessor: Uncut,https://www.rottentomatoes.com//m/possessor_uncut,2020,"Horror, Mystery & thriller, Sci-fi",English,1h 42m,Brandon Cronenberg,6.5,29790,"Tasya Vos, an elite, corporate assassin, takes control of other people's bodies using brain-implant technology to execute high-profile targets.","Further refining his provocative vision, writer-director Brandon Cronenberg uses Possessor's potentially over-the-top premise as a delivery mechanism for stylishly disturbing thrills.",Horror,2011-2020
66,101 Dalmatians,https://www.rottentomatoes.com//m/101_dalmatians,1961,"Animation, Kids & family, Comedy, Adventure",English,1h 19m,"Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi",5.7,108632,"In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.","With plenty of pooches and a memorable villain (Cruella De Vil), this is one of Disney's most enduring, entertaining animated films.",Animation,1961-1970
67,Le Cercle Rouge,https://www.rottentomatoes.com//m/le_cercle_rouge,1970,"Drama, Crime",French (France),2h 20m,Jean-Pierre Melville,8,24377,"When French criminal Corey (Alain Delon) gets released from prison, he resolves to never return. He is quickly pulled back into the underworld, however, after a chance encounter with escaped murderer Vogel (Gian Maria Volonte). Along with former policeman and current alcoholic Jansen (Yves Montand), they plot an intricate jewel heist. All the while, quirky Police Commissioner Mattei (Bourvil), who was the one to lose custody of Vogel, is determined to find him.","Melville is at the top of his game, giving us his next-to-last entry into the world of deception, crime, and extreme suspense that made him a maestro of the French heist genre.",Drama,1961-1970
68,The Cabin in the Woods,https://www.rottentomatoes.com//m/the_cabin_in_the_woods,2012,"Horror, Comedy",English,1h 35m,Drew Goddard,7,398472,"When five college friends (Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz, Jesse Williams) arrive at a remote forest cabin for a little vacation, little do they expect the horrors that await them. One by one, the youths fall victim to backwoods zombies, but there is another factor at play. Two scientists (Richard Jenkins, Bradley Whitford) are manipulating the ghoulish goings-on, but even as the body count rises, there is yet more at work than meets the eye.","The Cabin in the Woods is an astonishing meta-feat, capable of being funny, strange, and scary -- frequently all at the same time.",Horror,2011-2020
69,Stalker,https://www.rottentomatoes.com//m/1043378-stalker,1979,"Adventure, Sci-fi",Russian,2h 43m,Andrei Tarkovsky,8.1,128197,"In an unnamed country at an unspecified time, there is a fiercely protected post-apocalyptic wasteland known as The Zone. An illegal guide (Aleksandr Kajdanovsky), whose mutant child suggests unspeakable horrors within The Zone, leads a writer (Anatoliy Solonitsyn) and a scientist (Nikolay Grinko) into the heart of the devastation in search of a mythical place known only as The Room. Anyone who enters The Room will supposedly have any of his earthly desires immediately fulfilled.","Stalker is a complex, oblique parable that draws unforgettable images and philosophical musings from its sci-fi/thriller setting.",Adventure,1971-1980
70,No Country for Old Men,https://www.rottentomatoes.com//m/no_country_for_old_men,2007,"Crime, Drama, Mystery & thriller",English,2h 2m,"Joel Coen, Ethan Coen",8.1,914268,"While out hunting, Llewelyn Moss (Josh Brolin) finds the grisly aftermath of a drug deal. Though he knows better, he cannot resist the cash left behind and takes it with him. The hunter becomes the hunted when a merciless killer named Chigurh (Javier Bardem) picks up his trail. Also looking for Moss is Sheriff Bell (Tommy Lee Jones), an aging lawman who reflects on a changing world and a dark secret of his own, as he tries to find and protect Moss.","Bolstered by powerful lead performances from Javier Bardem, Josh Brolin, and Tommy Lee Jones, No Country for Old Men finds the Coen brothers spinning cinematic gold out of Cormac McCarthy's grim, darkly funny novel.",Crime,2001-2010
71,Burning,https://www.rottentomatoes.com//m/burning_2018,2018,"Drama, Mystery & thriller",Korean,2h 28m,Lee Chang-dong,7.5,58576,"Jong-soo runs into Hae-mi, a girl who once lived in his neighborhood, and she asks him to watch her cat while she's out of town. When she returns, she introduces him to Ben, a man she met on the trip. Ben proceeds to tell Jong-soo about his hobby.",Burning patiently lures audiences into a slow-burning character study that ultimately rewards the viewer's patience -- and subverts many of their expectations.,Drama,2011-2020
72,The Manchurian Candidate,https://www.rottentomatoes.com//m/1013227-manchurian_candidate,1962,"Drama, Mystery & thriller",English,2h 6m,John Frankenheimer,7.9,74045,"Near the end of the Korean War, a platoon of U.S. soldiers is captured by communists and brainwashed. Following the war, the platoon is returned home, and Sergeant Raymond Shaw (Laurence Harvey) is lauded as a hero by the rest of his platoon. However, the platoon commander, Captain Bennett Marco (Frank Sinatra), finds himself plagued by strange nightmares and, together with fellow soldier Allen Melvin (James Edwards), races to uncover a terrible plot.","A classic blend of satire and political thriller that was uncomfortably prescient in its own time, The Manchurian Candidate remains distressingly relevant today.",Drama,1961-1970
73,Ex Machina,https://www.rottentomatoes.com//m/ex_machina,2015,"Drama, Mystery & thriller, Sci-fi",English,1h 47m,Alex Garland,7.7,510387,"Caleb Smith (Domhnall Gleeson) a programmer at a huge Internet company, wins a contest that enables him to spend a week at the private estate of Nathan Bateman (Oscar Isaac), his firm's brilliant CEO. When he arrives, Caleb learns that he has been chosen to be the human component in a Turing test to determine the capabilities and consciousness of Ava (Alicia Vikander), a beautiful robot. However, it soon becomes evident that Ava is far more self-aware and deceptive than either man imagined.","Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature.",Drama,2011-2020
74,Kiss Me Deadly,https://www.rottentomatoes.com//m/kiss_me_deadly,1955,"Crime, Drama",English,1h 45m,Robert Aldrich,7.6,19861,"One evening, private detective Mike Hammer (Ralph Meeker) picks up a strange woman, Christina (Cloris Leachman), who's standing on the highway wearing only a trench coat. They're stopped farther on by strangers who knock out Mike and murder Christina. Although warned not to investigate by the police, Mike and his girlfriend and assistant, Velda (Maxine Cooper), become ensnared in a dark plot involving scientist Dr. Soberin (Albert Dekker) and Christina's terrified roommate, Lily (Gaby Rodgers).","An intriguing, wonderfully subversive blend of art and commerce, Kiss Me Deadly is an influential noir classic.",Crime,1951-1960
75,Sicario,https://www.rottentomatoes.com//m/sicario_2015,2015,"Crime, Drama, Mystery & thriller",English,2h 1m,Denis Villeneuve,7.6,403758,"After rising through the ranks of her male-dominated profession, idealistic FBI agent Kate Macer (Emily Blunt) receives a top assignment. Recruited by mysterious government official Matt Graver (Josh Brolin), Kate joins a task force for the escalating war against drugs. Led by the intense and shadowy Alejandro (Benicio Del Toro), the team travels back-and-forth across the U.S.-Mexican border, using one cartel boss (Bernardo Saracino) to flush out a bigger one (Julio Cesar Cedillo).","Led by outstanding work from Emily Blunt and Benicio del Toro, Sicario is a taut, tightly wound thriller with much more on its mind than attention-getting set pieces.",Crime,2011-2020
76,Searching,https://www.rottentomatoes.com//m/searching_2018,2018,Mystery & thriller,English,1h 42m,Aneesh Chaganty,7.6,154806,"David Kim becomes desperate when his 16-year-old daughter Margot disappears and an immediate police investigation leads nowhere. He soon decides to search the one place that no one else has -- Margot's laptop. Hoping to trace her digital footprints, David contacts her friends and looks at photos and videos for any possible clues to her whereabouts.",Searching's timely premise and original execution are further bolstered by well-rounded characters brought to life by a talented cast.,Mystery & thriller,2011-2020
77,Blow the Man Down,https://www.rottentomatoes.com//m/blow_the_man_down,2020,"Comedy, Drama",English,1h 30m,"Bridget Savage Cole, Danielle Krudy",6.4,9705,"Welcome to Easter Cove, a salty fishing village on the far reaches of Maine's rocky coast. Grieving the loss of their mother and facing an uncertain future, Mary Beth & Priscilla Connolly cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deeper into Easter Cove's underbelly and uncover the town matriarchs' darkest secrets.","Clever, funny, and original, Blow the Man Down is a cinematic journey that's not to be missed.",Comedy,2011-2020
78,Don't Look Now,https://www.rottentomatoes.com//m/dont_look_now,1973,Mystery & thriller,English,1h 50m,Nicolas Roeg,7.2,53779,"Still grieving over the accidental death of their daughter, Christine (Sharon Williams), John (Donald Sutherland) and Laura Baxter (Julie Christie) head to Venice, Italy, where John's been commissioned to restore a church. There Laura meets two sisters (Hilary Mason, Clelia Matania) who claim to be in touch with the spirit of the Baxters' daughter. Laura takes them seriously, but John scoffs until he himself catches a glimpse of what looks like Christine running through the streets of Venice.",Don't Look Now patiently builds suspense with haunting imagery and a chilling score -- causing viewers to feel Donald Sutherland and Julie Christie's grief deep within.,Mystery & thriller,1971-1980
79,Jurassic Park,https://www.rottentomatoes.com//m/jurassic_park,1993,"Mystery & thriller, Adventure, Action, Sci-fi",English,2h 6m,Steven Spielberg,8.1,920671,"In Steven Spielberg's massive blockbuster, paleontologists Alan Grant (Sam Neill) and Ellie Sattler (Laura Dern) and mathematician Ian Malcolm (Jeff Goldblum) are among a select group chosen to tour an island theme park populated by dinosaurs created from prehistoric DNA. While the park's mastermind, billionaire John Hammond (Richard Attenborough), assures everyone that the facility is safe, they find out otherwise when various ferocious predators break free and go on the hunt.","Jurassic Park is a spectacle of special effects and life-like animatronics, with some of Spielberg's best sequences of sustained awe and sheer terror since Jaws.",Mystery & thriller,1991-2000
80,It,https://www.rottentomatoes.com//m/it_2017,2017,"Horror, Mystery & thriller",English,2h 15m,Andy Muschietti,7.3,501764,"Seven young outcasts in Derry, Maine, are about to face their worst nightmare -- an ancient, shape-shifting evil that emerges from the sewer every 27 years to prey on the town's children. Banding together over the course of one horrifying summer, the friends must overcome their own personal fears to battle the murderous, bloodthirsty clown known as Pennywise.","Well-acted and fiendishly frightening with an emotionally affecting story at its core, It amplifies the horror in Stephen King's classic story without losing touch with its heart.",Horror,2011-2020
