,Title,Link,Year,Genre,Original Language,Duration,Director,IMDB Rating,Votes,Description,Critics Review,Primary Genre,Year Range
159,Werckmeister Harmonies,https://www.rottentomatoes.com//m/werckmeister_harmonies,2001,Drama,Unknown language,2h 25m,B??la Tarr,8.1,13734,A mysterious circus excites a small Hungarian town into a rebellion when a promised act doesn't perform.,"Mesmerizingly lovely and thematically thought-provoking, Werckmeister Harmonies adds another indelible achievement to Bela Tarr's fascinating filmography.",Drama,2001-2010
160,Suspiria,https://www.rottentomatoes.com//m/1020662-suspiria,1977,"Mystery & thriller, Horror",Italian,1h 32m,Dario Argento,7.4,88579,"Suzy (Jessica Harper) travels to Germany to attend ballet school. When she arrives, late on a stormy night, no one lets her in, and she sees Pat (Eva Ax??n), another student, fleeing from the school. When Pat reaches her apartment, she is murdered. The next day, Suzy is admitted to her new school, but has a difficult time settling in. She hears noises, and often feels ill. As more people die, Suzy uncovers the terrifying secret history of the place.","The blood pours freely in Argento's classic Suspiria, a giallo horror as grandiose and glossy as it is gory.",Mystery & thriller,1971-1980
161,Re-Animator,https://www.rottentomatoes.com//m/reanimator,1985,"Horror, Comedy",English,1h 26m,Stuart Gordon,7.2,61405,A medical student (Jeffrey Combs) brings his headless professor back from the dead with a special serum.,"Perfectly mixing humor and horror, the only thing more effective than Re-Animator's gory scares are its dry, deadpan jokes.",Horror,1981-1990
162,Shaun of the Dead,https://www.rottentomatoes.com//m/shaun_of_the_dead,2004,"Horror, Comedy",English,1h 37m,Edgar Wright,7.9,536517,"Shaun (Simon Pegg) is a 30-something loser with a dull, easy existence. When he's not working at the electronics store, he lives with his slovenly best friend, Ed (Nick Frost), in a small flat on the outskirts of London. The only unpredictable element in his life is his girlfriend, Liz (Kate Ashfield), who wishes desperately for Shaun to grow up and be a man. When the town is inexplicably overrun with zombies, Shaun must rise to the occasion and protect both Liz and his mother (Penelope Wilton).","Shaun of the Dead cleverly balances scares and witty satire, making for a bloody good zombie movie with loads of wit.",Horror,2001-2010
163,Train to Busan,https://www.rottentomatoes.com//m/train_to_busan,2016,"Horror, Mystery & thriller, Action",Korean,1h 58m,Yeon Sang-ho,7.6,197208,"A man (Gong Yoo), his estranged daughter and other passengers become trapped on a speeding train during a zombie outbreak in South Korea.","Train to Busan delivers a thrillingly unique -- and purely entertaining -- take on the zombie genre, with fully realized characters and plenty of social commentary to underscore the bursts of skillfully staged action.",Horror,2011-2020
164,Invasion of the Body Snatchers,https://www.rottentomatoes.com//m/1010679-invasion_of_the_body_snatchers,1978,Sci-fi,English,1h 55m,Philip Kaufman,7.7,47916,"This remake of the classic horror film is set in San Francisco. Matthew Bennell (Donald Sutherland) assumes that when a friend (Brooke Adams) complains of her husband's strange mood, it's a marital issue. However, he begins to worry as more people report similar observations. His concern is confirmed when writer Jack Bellicec (Jeff Goldblum) and his wife (Veronica Cartwright) discover a mutated corpse. Besieged by an invisible enemy, Bennell must work quickly before the city is consumed.","Employing gritty camerawork and evocative sound effects, Invasion of the Body Snatchers is a powerful remake that expands upon themes and ideas only lightly explored in the original.",Sci-fi,1971-1980
165,The Host,https://www.rottentomatoes.com//m/the_host_2007,2007,"Horror, Comedy",Korean,1h 59m,Bong Joon-ho,7.1,116145,"Careless American military personnel dump chemicals into South Korea's Han River. Several years later, a creature emerges from the tainted waters and sinks its ravenous jaws into local residents. When the creature abducts their daughter (Go Ah-sung), a vendor (Song Kang-ho) and his family decide that they are the only ones who can save her.","As populace pleasing as it is intellectually satisfying, The Host combines scares, laughs, and satire into a riveting, monster movie.",Horror,2001-2010
166,Dawn of the Dead,https://www.rottentomatoes.com//m/1005339-dawn_of_the_dead,1979,Horror,English,2h 6m,George A. Romero,7.9,117166,"As hordes of zombies swarm over the U.S., the terrified populace tries everything in their power to escape the attack of the undead, but neither cities nor the countryside prove safe. In Pennsylvania, radio-station employee Stephen (David Emge) and his girlfriend, Francine (Gaylen Ross), escape in the station helicopter, accompanied by two renegade SWAT members, Roger and Pete. The group retreats to the haven of an enclosed shopping center to make what could be humanity's last stand.","One of the most compelling and entertaining zombie films ever, Dawn of the Dead perfectly blends pure horror and gore with social commentary on material society.",Horror,1971-1980
167,It Comes At Night,https://www.rottentomatoes.com//m/it_comes_at_night,2017,"Horror, Mystery & thriller",English,1h 37m,Trey Edward Shults,6.2,89904,"After a mysterious apocalypse leaves the world with few survivors, two families are forced to share a home in an uneasy alliance to keep the outside evil at bay -- only to learn that the true horror may come from within.",It Comes at Night makes lethally effective use of its bare-bones trappings while proving once again that what's left unseen can be just as horrifying as anything on the screen.,Horror,2011-2020
168,Zombieland,https://www.rottentomatoes.com//m/zombieland,2009,"Horror, Comedy",English,1h 27m,Ruben Fleischer,7.6,548440,"After a virus turns most people into zombies, the world's surviving humans remain locked in an ongoing battle against the hungry undead. Four survivors -- Tallahassee (Woody Harrelson) and his cohorts Columbus (Jesse Eisenberg), Wichita (Emma Stone) and Little Rock (Abigail Breslin) -- abide by a list of survival rules and zombie-killing strategies as they make their way toward a rumored safe haven in Los Angeles.","Wickedly funny and featuring plenty of gore, Zombieland is proof that the zombie subgenre is far from dead.",Horror,2001-2010
169,In Fabric,https://www.rottentomatoes.com//m/in_fabric,2019,"Horror, Comedy",English (United Kingdom),1h 58m,Peter Strickland,6.2,10515,"A lonely divorcee visits a bewitching London department store to find a dress to transform her life. She soon finds a perfect, artery-red gown that unleashes a malevolent, unstoppable curse.","In Fabric's gauzy giallo allure weaves a surreal spell, blending stylish horror and dark comedy to offer audiences a captivating treat.",Horror,2011-2020
170,Don't Breathe,https://www.rottentomatoes.com//m/dont_breathe_2016,2016,"Horror, Mystery & thriller",English,1h 28m,Fede Alvarez,7.1,256896,"Rocky (Jane Levy), Alex and Money are three Detroit thieves who get their kicks by breaking into the houses of wealthy people. Money gets word about a blind veteran who won a major cash settlement following the death of his only child. Figuring he's an easy target, the trio invades the man's secluded home in an abandoned neighborhood. Finding themselves trapped inside, the young intruders must fight for their lives after making a shocking discovery about their supposedly helpless victim.","Don't Breathe smartly twists its sturdy premise to offer a satisfyingly tense, chilling addition to the home invasion genre that's all the more effective for its simplicity.",Horror,2011-2020
171,The Mortuary Collection,https://www.rottentomatoes.com//m/the_mortuary_collection,2019,"Horror, Fantasy",English,1h 50m,Ryan Spindell,6.4,10939,"Desperate for work, a young drifter applies for a job at the local mortuary on the outskirts of town. There, she meets Montgomery Dark, an eccentric mortician with more than a few skeletons in his closet. Montgomery chronicles the strange history of the town through a series of twisted tales, each more terrifying than the last.","The rare anthology that maintains a consistently high level of quality, The Mortuary Collection is a must-see undertaking for horror fans.",Horror,2011-2020
172,Phantom of the Opera,https://www.rottentomatoes.com//m/phantom_of_the_opera_1925,1925,Horror,English,1h 33m,Rupert Julian,7.6,17895,"In this silent horror classic, aspiring young opera singer Christine Daa?? (Mary Philbin) discovers that she has a mysterious admirer intent on helping her become a lead performer. This enigmatic masked presence is Erik, also known as the Phantom (Lon Chaney), a horribly disfigured recluse who lives underneath the Paris Opera House. When the Phantom takes Christine prisoner and demands her devotion and affection, her suitor, Vicomte Raoul de Chagny (Norman Kerry), sets out to rescue her.","Decades later, it still retains its ability to scare -- and Lon Chaney's performance remains one of the benchmarks of the horror genre.",Horror,Before 1950s
173,The Endless,https://www.rottentomatoes.com//m/the_endless,2018,"Horror, Mystery & thriller, Sci-fi",English,1h 51m,"Aaron Moorhead, Justin Benson",6.5,39305,"Two brothers receive a cryptic video message inspiring them to revisit the UFO death cult they escaped a decade earlier. Hoping to find the closure that they couldn't find as young men, they're forced to reconsider the cult's beliefs when confronted with unexplainable phenomena surrounding the camp. As the members prepare for the coming of a mysterious event, the brothers race to unravel the seemingly impossible truth before their lives become permanently entangled with the cult.","The Endless benefits from its grounded approach to an increasingly bizarre story, elevated by believable performances by filmmakers Justin Benson and Aaron Moorhead.",Horror,2011-2020
174,What Ever Happened to Baby Jane?,https://www.rottentomatoes.com//m/what_ever_happened_to_baby_jane,1962,"Horror, Mystery & thriller",English,2h 12m,Robert Aldrich,8.1,53582,"Jane Hudson (Bette Davis) is an aging child star left to care for her wheelchair-bound sister Blanche (Joan Crawford), also a former child actress. Stuck living together in a mansion in old Hollywood, Blanche plots to get even with Jane for the car crash that left her crippled years earlier. But Jane is desperate to keep Blanche imprisoned as she plans a new rise to fame, and tries to hide Blanche's existence from doctors, visitors and neighbors while she devises a way to get rid of her sister.","What Ever Happened to Baby Jane? combines powerhouse acting, rich atmosphere, and absorbing melodrama in service of a taut thriller with thought-provoking subtext.",Horror,1961-1970
175,CAM,https://www.rottentomatoes.com//m/cam,2018,"Horror, Mystery & thriller",English,1h 34m,Daniel Goldhaber,5.9,30036,"A camgirl has her principles, until a mysterious woman who looks just like her takes over her channel.","Smart and suspenseful, CAM is a techno-thriller that's far more than the sum of its salacious parts -- and an outstanding showcase for Madeline Brewer in the leading role.",Horror,2011-2020
176,The Wolf Man,https://www.rottentomatoes.com//m/wolf_man,1941,Horror,English,1h 10m,George Waggner,7.3,25997,"When his brother dies, Larry Talbot (Lon Chaney) returns to Wales and reconciles with his father (Claude Rains). While there, he visits an antique shop and, hoping to impress Gwen (Evelyn Ankers), the attractive shopkeeper, buys a silver walking cane. That same night he kills a wolf with it, only to later learn that he actually killed a man (Bela Lugosi). A gypsy (Maria Ouspenskaya) explains that it was her son, a werewolf, that he killed, and that Larry is now one himself.","A handsomely told tale with an affecting performance from Lon Chaney, Jr., The Wolf Man remains one of the classics of the Universal horror stable.",Horror,Before 1950s
177,The Thing from Another World,https://www.rottentomatoes.com//m/1021242-thing,1951,Sci-fi,English,1h 27m,Christian Nyby,7.1,28915,"When scientist Dr. Carrington (Robert Cornthwaite) reports a UFO near his North Pole research base, the Air Force sends in a team under Capt. Patrick Hendry (Kenneth Tobey) to investigate. What they find is a wrecked spaceship and a humanoid creature (James Arness) frozen in the ice. They bring their discovery back to the base, but Carrington and Hendry disagree over what to do with it. Meanwhile, the creature is accidentally thawed and begins wreaking havoc.","As flying saucer movies go, The Thing From Another World is better than most, thanks to well-drawn characters and concise, tense plotting.",Sci-fi,1951-1960
178,We Are Still Here,https://www.rottentomatoes.com//m/we_are_still_here,2015,Horror,English,1h 24m,Ted Geoghegan,5.7,18234,"Every 30 years, a lonely old house in the fields of New England wakes up and demands a sacrifice.","Smart, powerfully acted, and devilishly clever, We Are Still Here offers some novel twists on familiar territory -- and heralds the arrival of a major talent in writer-director Ted Geoghegan.",Horror,2011-2020
179,Upgrade,https://www.rottentomatoes.com//m/upgrade_2018,2018,"Horror, Action, Sci-fi",English,1h 35m,Leigh Whannell,7.5,174623,"A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure -- an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility -- skills he uses to seek revenge against the thugs who destroyed his life.","Like its augmented protagonist, Upgrade's old-fashioned innards get a high-tech boost -- one made even more powerful thanks to sharp humor and a solidly well-told story.",Horror,2011-2020
180,Eraserhead,https://www.rottentomatoes.com//m/eraserhead,1977,Horror,English,1h 30m,David Lynch,7.4,110933,"Henry (John Nance) resides alone in a bleak apartment surrounded by industrial gloom. When he discovers that an earlier fling with Mary X (Charlotte Stewart) left her pregnant, he marries the expectant mother and has her move in with him. Things take a decidedly strange turn when the couple's baby turns out to be a bizarre lizard-like creature that won't stop wailing. Other characters, including a disfigured lady who lives inside a radiator, inhabit the building and add to Henry's troubles.",David Lynch's surreal Eraserhead uses detailed visuals and a creepy score to create a bizarre and disturbing look into a man's fear of parenthood.,Horror,1971-1980
181,The Texas Chainsaw Massacre,https://www.rottentomatoes.com//m/1021112-texas_chainsaw_massacre,1974,"Horror, Mystery & thriller",English,1h 23m,Tobe Hooper,6.2,136693,"When Sally (Marilyn Burns) hears that her grandfather's grave may have been vandalized, she and her paraplegic brother, Franklin (Paul A. Partain), set out with their friends to investigate. After a detour to their family's old farmhouse, they discover a group of crazed, murderous outcasts living next door. As the group is attacked one by one by the chainsaw-wielding Leatherface (Gunnar Hansen), who wears a mask of human skin, the survivors must do everything they can to escape.","Thanks to a smart script and documentary-style camerawork, The Texas Chainsaw Massacre achieves start-to-finish suspense, making it a classic in low-budget exploitation cinema.",Horror,1971-1980
182,Halloween,https://www.rottentomatoes.com//m/halloween_2018,2018,"Horror, Other, Mystery & thriller",English,1h 46m,David Gordon Green,7.7,260256,"It's been 40 years since Laurie Strode survived a vicious attack from crazed killer Michael Myers on Halloween night. Locked up in an institution, Myers manages to escape when his bus transfer goes horribly wrong. Laurie now faces a terrifying showdown when the masked madman returns to Haddonfield, Ill. -- but this time, she's ready for him.","Halloween largely wipes the slate clean after decades of disappointing sequels, ignoring increasingly elaborate mythology in favor of basic - yet still effective - ingredients.",Horror,2011-2020
183,The Witches,https://www.rottentomatoes.com//m/the_witches,1990,"Kids & family, Adventure, Fantasy",English,1h 31m,Nicolas Roeg,6.9,48049,"While staying at a hotel in England with his grandmother, Helga (Mai Zetterling), young Luke (Jasen Fisher) inadvertently spies on a convention of witches. The Grand High Witch (Anjelica Huston) reveals a plan to turn all children into mice through a magical formula. When they find that Luke has overheard, the witches test the formula on him. Now, with the help of Helga and the hotel manager, Mr. Stringer (Rowan Atkinson), Luke the mouse must fight back against the witches.","With a deliciously wicked performance from Angelica Huston and imaginative puppetry by Jim Henson's creature shop, Nicolas Roeg's dark and witty movie captures the spirit of Roald Dahl's writing like few other adaptations.",Kids & family,1981-1990
184,Horror of Dracula,https://www.rottentomatoes.com//m/horror_of_dracula,1958,Horror,English,1h 22m,Terence Fisher,7.3,24150,"On a search for his missing friend Jonathan Harker (John Van Eyssen), vampire hunter Dr. Van Helsing (Peter Cushing) is led to Count Dracula's (Christopher Lee) castle. Upon arriving, Van Helsing finds an undead Harker in Dracula's crypt and discovers that the count's next target is Harker's ailing fianc??e, Lucy Holmwood (Carol Marsh). With the help of her brother, Arthur (Michael Gough), Van Helsing struggles to protect Lucy and put an end to Count Dracula's parasitic reign of terror.","Trading gore for grandeur, Horror of Dracula marks an impressive turn for inveterate Christopher Lee as the titular vampire, and a typical Hammer mood that makes aristocracy quite sexy.",Horror,1951-1960
185,Arachnophobia,https://www.rottentomatoes.com//m/arachnophobia,1990,"Comedy, Mystery & thriller",English,1h 49m,Frank Marshall,6.4,67819,"After a nature photographer (Mark L. Taylor) dies on assignment in Venezuela, a poisonous spider hitches a ride in his coffin to his hometown in rural California, where arachnophobe Dr. Ross Jennings (Jeff Daniels) has just moved in with his wife, Molly (Harley Jane Kozak), and young son. As town residents start turning up dead, Jennings begins to suspect spiders, and must face his fears as he and no-nonsense exterminator Delbert McClintock (John Goodman) fight to stop a deadly infestation.","Arachnophobia may not deliver genuine chills, but it's an affectionate, solidly built tribute to Hollywood's classic creature features.",Comedy,1981-1990
186,The Mummy,https://www.rottentomatoes.com//m/1014370-mummy,1932,Horror,English,1h 12m,Karl Freund,7.1,25716,"A team of British archaeologists led by Sir Joseph Whemple (Arthur Byron) discover the mummified remains of the ancient Egyptian prince Imhotep (Boris Karloff), along with the legendary scroll of Thoth. When one of the archaeologists recites the scroll aloud, Imhotep returns to life, but escapes. Several years later, Imhotep has taken on the guise of a wealthy man, as he searches Egypt for his lost love, who he believes has been reincarnated as the lovely Helen Grosvenor (Zita Johann).","Relying more on mood and atmosphere than the thrills typical of modern horror fare, Universal's The Mummy sets a masterful template for mummy-themed films to follow.",Horror,Before 1950s
187,Dr. Jekyll and Mr. Hyde,https://www.rottentomatoes.com//m/1006207-dr_jekyll_and_mr_hyde,1931,Horror,English,1h 37m,Rouben Mamoulian,7.6,13485,"Testing his theory that in every man dwells a good and an evil force, the reserved Dr. Jekyll (Fredric March) develops a formula that separates the two, turning him into a violent ruffian named Mr. Hyde. Thinking he has found the answer to one of life's grandest mysteries, Dr. Jekyll soon realizes he is becoming addicted to his darker self as he unleashes his violent side on earthy dance hall girl Ivy (Miriam Hopkins) and fights Hyde to regain control of his body.","A classic. The definitive version of the Robert Louis Stevenson novella from 1931, with innovative special effects, atmospheric cinematography and deranged overacting.",Horror,Before 1950s
188,Frankenweenie,https://www.rottentomatoes.com//m/frankenweenie_2012,2012,"Animation, Comedy, Kids & family",English,1h 27m,Tim Burton,6.9,103793,"Young Victor Frankenstein (Charlie Tahan) is a science nerd and outsider at school, but he does have one good friend: his dog, Sparky. But then, tragedy strikes, and Sparky shuffles off this mortal coil. Victor is heartbroken, but his science teacher (Martin Landau) gives him an idea of how to jolt old Sparky back to life. The experiment is successful, and all goes well, until Victor's fellow students steal his secret and use it to resurrect other dead animals -- with monstrous consequences.","Frankenweenie is an energetic stop-motion horror movie spoof with lovingly crafted visuals and a heartfelt, oddball story.",Animation,2011-2020
189,Let Me In,https://www.rottentomatoes.com//m/let_me_in,2010,Horror,English,1h 55m,Matt Reeves,7.1,117625,"Bullied at school, neglected at home and incredibly lonely, 12-year-old Owen (Kodi Smit-McPhee) spends his days plotting revenge on his tormentors and spends his nights spying on other residents of the apartment complex. His sole friend is Abby (Chlo?? Grace Moretz), a strange girl who comes out only at nighttime. Both outcasts, the two form a strong bond. When Abby's caretaker disappears amid a series of gruesome murders, Owen begins to suspect that she is hiding a terrible secret.",Similar to the original in all the right ways -- but with enough changes to stand on its own -- Let Me In is the rare Hollywood remake that doesn't add insult to inspiration.,Horror,2001-2010
190,The Dark and the Wicked,https://www.rottentomatoes.com//m/the_dark_and_the_wicked,2020,"Horror, Mystery & thriller",English,1h 34m,Bryan Bertino,6.1,14079,"Plagued by waking nightmares, two siblings suspect that something evil is taking over their family at an isolated farmhouse.",The Dark and the Wicked delivers on its title with an unsettling horror story whose deep dread and bleak outlook further compound its effective jolts.,Horror,2011-2020
191,Frenzy,https://www.rottentomatoes.com//m/frenzy,1972,Mystery & thriller,English,1h 56m,Alfred Hitchcock,7.4,44068,"London is held in the grip of a serial killer whose modus operandi is to murder his victims by strangling them with a necktie. When short-tempered ex-Royal Air Force officer Richard Blaney (Jon Finch) discovers his ex-wife (Barbara Leigh-Hunt) murdered, Blaney becomes a suspect. Forced to go on the run, Blaney attempts to take refuge with his best friend, fruit merchant Bob Rusk (Barry Foster), however Rusk may, in fact, be the necktie murderer himself.","Marking Alfred Hitchcock's return to England and first foray into viscerally explicit carnage, Frenzy finds the master of horror regaining his grip on the audience's pulse -- and making their blood run cold.",Mystery & thriller,1971-1980
192,Misery,https://www.rottentomatoes.com//m/misery,1990,"Horror, Mystery & thriller",English,1h 47m,Rob Reiner,7.8,198167,"After a serious car crash, novelist Paul Sheldon (James Caan) is rescued by former nurse Annie Wilkes (Kathy Bates), who claims to be his biggest fan. Annie brings him to her remote cabin to recover, where her obsession takes a dark turn when she discovers Sheldon is killing off her favorite character from his novels. As Sheldon devises plans for escape, Annie grows increasingly controlling, even violent, as she forces the author to shape his writing to suit her twisted fantasies.","Elevated by standout performances from James Caan and Kathy Bates, this taut and frightening film is one of the best Stephen King adaptations to date.",Horror,1981-1990
193,Kaidan,https://www.rottentomatoes.com//m/kwaidan,1964,"Horror, Fantasy",Japanese,2h 44m,Masaki Kobayashi,8,16887,"Taking its title from an archaic Japanese word meaning ""ghost story,"" this anthology adapts four folk tales. A penniless samurai (Rentar?? Mikuni) marries for money with tragic results. A man stranded in a blizzard is saved by Yuki the Snow Maiden (Keiko Kishi), but his rescue comes at a cost. Blind musician Hoichi (Katsuo Nakamura) is forced to perform for an audience of ghosts. An author (Osamu Takizawa) relates the story of a samurai who sees another warrior??s reflection in his teacup.","Exquisitely designed and fastidiously ornate, Masaki Kobayashi's ambitious anthology operates less as a frightening example of horror and more as a meditative tribute to Japanese folklore.",Horror,1961-1970
194,Color Out of Space,https://www.rottentomatoes.com//m/color_out_of_space,2020,"Horror, Sci-fi",English,1h 51m,Richard Stanley,6.2,42762,"After a meteorite lands in the front yard of their farm, Nathan Gardner and his family find themselves battling a mutant extraterrestrial organism that infects their minds and bodies, transforming their quiet rural life into a technicolor nightmare.","A welcome return for director Richard Stanley, Color Out of Space mixes tart B-movie pulp with visually alluring Lovecraftian horror and a dash of gonzo Nicolas Cage.",Horror,2011-2020
195,Island of Lost Souls,https://www.rottentomatoes.com//m/island_of_lost_souls_1933,1933,Horror,English,1h 10m,Erle C. Kenton,7.4,9113,"In this adaptation of H.G. Wells?? novel ""he Island of Doctor Moreau,"" Edward Parker (Richard Arlen) is shipwrecked on a remote island presided over by the mysterious Dr. Moreau (Charles Laughton). Edward discovers his host is conducting genetic experiments, and presiding over a race of half-human, half-animal hybrids, including the alluring Panther Woman and the sage Sayer of the Law (Bela Lugosi). The island has become its own society, with Moreau as its god.s","Led by a note-perfect performance from Charles Laughton, Island of Lost Souls remains the definitive film adaptation of its classic source material.",Horror,Before 1950s
196,The Conjuring,https://www.rottentomatoes.com//m/the_conjuring,2013,"Horror, Mystery & thriller",English,1h 51m,James Wan,7.5,480804,"In 1970, paranormal investigators and demonologists Lorraine (Vera Farmiga) and Ed (Patrick Wilson) Warren are summoned to the home of Carolyn (Lili Taylor) and Roger (Ron Livingston) Perron. The Perrons and their five daughters have recently moved into a secluded farmhouse, where a supernatural presence has made itself known. Though the manifestations are relatively benign at first, events soon escalate in horrifying fashion, especially after the Warrens discover the house's macabre history.","Well-crafted and gleefully creepy, The Conjuring ratchets up dread through a series of effective old-school scares.",Horror,2011-2020
197,Bone Tomahawk,https://www.rottentomatoes.com//m/bone_tomahawk,2015,"Horror, Comedy, Action, Western",English,2h 12m,S. Craig Zahler,7.1,94919,"In the Old West, a sheriff (Kurt Russell), his deputy (Richard Jenkins), a gunslinger (Matthew Fox),and a cowboy (Patrick Wilson) embark on a mission to rescue three people from a savage group of cave dwellers.","Bone Tomahawk's peculiar genre blend won't be for everyone, but its gripping performances and a slow-burning story should satisfy those in search of something different.",Horror,2011-2020
198,Little Shop of Horrors,https://www.rottentomatoes.com//m/1012515-little_shop_of_horrors,1986,"Musical, Comedy",English,1h 33m,Frank Oz,7.1,72132,"Meek flower shop assistant Seymour (Rick Moranis) pines for co-worker Audrey (Ellen Greene). During a total eclipse, he discovers an unusual plant he names Audrey II, which feeds only on human flesh and blood. The growing plant attracts a great deal of business for the previously struggling store. After Seymour feeds Audrey's boyfriend, Orin (Steve Martin), to the plant after Orin's accidental death, he must come up with more bodies for the increasingly bloodthirsty plant.","Remixing Roger Corman's B-movie by way of the Off-Broadway musical, Little Shop of Horrors offers camp, horror and catchy tunes in equal measure -- plus some inspired cameos by the likes of Steve Martin and Bill Murray.",Musical,1981-1990
199,The Shining,https://www.rottentomatoes.com//m/shining,1980,"Horror, Mystery & thriller",English,2h 22m,Stanley Kubrick,8.4,869480,"Jack Torrance (Jack Nicholson) becomes winter caretaker at the isolated Overlook Hotel in Colorado, hoping to cure his writer's block. He settles in along with his wife, Wendy (Shelley Duvall), and his son, Danny (Danny Lloyd), who is plagued by psychic premonitions. As Jack's writing goes nowhere and Danny's visions become more disturbing, Jack discovers the hotel's dark secrets and begins to unravel into a homicidal maniac hell-bent on terrorizing his family.","Though it deviates from Stephen King's novel, Stanley Kubrick's The Shining is a chilling, often baroque journey into madness -- exemplified by an unforgettable turn from Jack Nicholson.",Horror,1971-1980
